country_mentioned,author_country,weight,x,y,from,name,xend,yend,to
afghanistan,united states,0.024390243902439025,-112.4616737,45.6795472,227,Afghanistan,66.00473366,33.83523073,2
algeria,united states,0.024390243902439025,-112.4616737,45.6795472,227,Algeria,2.61732301,28.15893849,63
antarctica,united states,0.024390243902439025,-112.4616737,45.6795472,227,Antarctica,19.92108951,-80.50857913,12
argentina,spain,0.024390243902439025,-3.64755047,40.24448698,67,Argentina,-65.17980692,-35.3813488,9
armenia,united states,0.024390243902439025,-112.4616737,45.6795472,227,Armenia,44.92993276,40.28952569,10
aruba,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Aruba,-69.98267711,12.52088038,1
australia,china,0.024390243902439025,103.81907349,36.56176546,42,Australia,134.49100008,-25.73288704,16
australia,hungary,0.024390243902439025,19.39559116,47.16277506,96,Australia,134.49100008,-25.73288704,16
australia,iran,0.024390243902439025,54.27407004,32.57503292,103,Australia,134.49100008,-25.73288704,16
australia,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Australia,134.49100008,-25.73288704,16
australia,united states,0.07046070460704607,-112.4616737,45.6795472,227,Australia,134.49100008,-25.73288704,16
austria,norway,0.024390243902439025,15.34834656,68.75015572,163,Austria,14.1264761,47.58549439,17
austria,poland,0.024390243902439025,19.39012835,52.12759564,175,Austria,14.1264761,47.58549439,17
bahamas,united states,0.024390243902439025,-112.4616737,45.6795472,227,Bahamas,-76.62843038,24.29036702,27
bangladesh,australia,0.024390243902439025,134.49100008,-25.73288704,16,Bangladesh,90.23812743,23.86731158,23
bangladesh,canada,0.024390243902439025,-98.30777028,61.36206324,26,Bangladesh,90.23812743,23.86731158,23
bangladesh,japan,0.04878048780487805,138.03089558,37.59230135,111,Bangladesh,90.23812743,23.86731158,23
bangladesh,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Bangladesh,90.23812743,23.86731158,23
bangladesh,poland,0.024390243902439025,19.39012835,52.12759564,175,Bangladesh,90.23812743,23.86731158,23
bangladesh,united states,0.04878048780487805,-112.4616737,45.6795472,227,Bangladesh,90.23812743,23.86731158,23
belgium,netherlands,0.04878048780487805,5.28144793,52.1007899,162,Belgium,4.64065114,50.63981576,20
bermuda,united states,0.024390243902439025,-112.4616737,45.6795472,227,Bermuda,-64.7545589,32.31367802,32
bhutan,united states,0.024390243902439025,-112.4616737,45.6795472,227,Bhutan,90.40188155,27.41106589,37
bolivia,china,0.024390243902439025,103.81907349,36.56176546,42,Bolivia,-64.68538645,-16.70814787,33
bolivia,finland,0.02168021680216802,26.2746656,64.49884603,70,Bolivia,-64.68538645,-16.70814787,33
bolivia,india,0.04878048780487805,79.6119761,22.88578212,99,Bolivia,-64.68538645,-16.70814787,33
bolivia,united states,0.8753387533875339,-112.4616737,45.6795472,227,Bolivia,-64.68538645,-16.70814787,33
brazil,australia,0.04878048780487805,134.49100008,-25.73288704,16,Brazil,-53.09783113,-10.78777702,34
brazil,canada,0.024390243902439025,-98.30777028,61.36206324,26,Brazil,-53.09783113,-10.78777702,34
brazil,egypt,0.024390243902439025,29.86190099,26.49593311,65,Brazil,-53.09783113,-10.78777702,34
brazil,hungary,0.024390243902439025,19.39559116,47.16277506,96,Brazil,-53.09783113,-10.78777702,34
brazil,nigeria,0.024390243902439025,8.08943895,9.59411452,159,Brazil,-53.09783113,-10.78777702,34
brazil,switzerland,0.024390243902439025,8.20867471,46.79785878,40,Brazil,-53.09783113,-10.78777702,34
brazil,united states,0.2926829268292683,-112.4616737,45.6795472,227,Brazil,-53.09783113,-10.78777702,34
bulgaria,france,0.024390243902439025,-2.76172945,42.17344011,73,Bulgaria,25.21552909,42.76890318,24
canada,australia,0.04878048780487805,134.49100008,-25.73288704,16,Canada,-98.30777028,61.36206324,26
canada,bangladesh,0.024390243902439025,90.23812743,23.86731158,23,Canada,-98.30777028,61.36206324,26
canada,china,0.07317073170731707,103.81907349,36.56176546,42,Canada,-98.30777028,61.36206324,26
canada,finland,0.0027100271002710027,26.2746656,64.49884603,70,Canada,-98.30777028,61.36206324,26
canada,saudi arabia,0.024390243902439025,44.53686271,24.12245841,187,Canada,-98.30777028,61.36206324,26
canada,united kingdom,0.04607046070460705,-2.86563164,54.12387156,77,Canada,-98.30777028,61.36206324,26
canada,united states,0.1951219512195122,-112.4616737,45.6795472,227,Canada,-98.30777028,61.36206324,26
chad,france,0.024390243902439025,-2.76172945,42.17344011,73,Chad,18.64492513,15.33333758,212
chad,germany,0.024390243902439025,10.38578051,51.10698181,58,Chad,18.64492513,15.33333758,212
chad,italy,0.024390243902439025,12.07001339,42.79662641,107,Chad,18.64492513,15.33333758,212
chad,nigeria,0.0975609756097561,8.08943895,9.59411452,159,Chad,18.64492513,15.33333758,212
chile,canada,0.024390243902439025,-98.30777028,61.36206324,26,Chile,-71.38256213,-37.73070989,41
china,canada,0.04878048780487805,-98.30777028,61.36206324,26,China,103.81907349,36.56176546,42
china,egypt,0.024390243902439025,29.86190099,26.49593311,65,China,103.81907349,36.56176546,42
china,ethiopia,0.024390243902439025,39.60080098,8.62278679,69,China,103.81907349,36.56176546,42
china,france,0.024390243902439025,-2.76172945,42.17344011,73,China,103.81907349,36.56176546,42
china,germany,0.024390243902439025,10.38578051,51.10698181,58,China,103.81907349,36.56176546,42
china,india,0.07317073170731707,79.6119761,22.88578212,99,China,103.81907349,36.56176546,42
china,israel,0.024390243902439025,35.00444693,31.46110101,106,China,103.81907349,36.56176546,42
china,japan,0.04878048780487805,138.03089558,37.59230135,111,China,103.81907349,36.56176546,42
