name,lc_name,lon,lat,id
Lebanon,lebanon,35.88016072,33.92306631,123
Liberia,liberia,-9.32207573,6.45278492,124
Libya,libya,18.00866169,27.03094495,125
Saint Lucia,saint lucia,-60.96969923,13.89479481,126
Liechtenstein,liechtenstein,9.53574312,47.13665835,127
Sri Lanka,sri lanka,80.70108238,7.61266509,128
Lesotho,lesotho,28.22723131,-29.58003188,129
Lithuania,lithuania,23.88719355,55.32610984,130
Luxembourg,luxembourg,6.07182201,49.76725361,131
Latvia,latvia,24.91235983,56.85085163,132
Macao,macao,113.50932116,22.22311688,133
St-Martin,st-martin,-63.05972851,18.08888611,134
Morocco,morocco,-8.45615795,29.83762955,135
Monaco,monaco,7.40627677,43.75274627,136
Moldova,moldova,28.45673372,47.19498804,137
Madagascar,madagascar,46.70473674,-19.37189587,138
Maldives,maldives,73.45713004,3.7287092,139
Mexico,mexico,-102.52345169,23.94753724,140
Marshall Is.,marshall is.,170.33976122,7.00376358,141
Macedonia,macedonia,21.68211346,41.59530893,142
Mali,mali,-3.54269065,17.34581581,143
Malta,malta,14.40523316,35.92149632,144
Myanmar,myanmar,96.48843321,21.18566599,145
Montenegro,montenegro,19.23883939,42.78890259,146
Mongolia,mongolia,103.05299765,46.82681544,147
N. Mariana Is.,n. mariana is.,145.61969651,15.82927563,148
Mozambique,mozambique,35.53367543,-17.27381643,149
Mauritania,mauritania,-10.34779815,20.25736706,150
Montserrat,montserrat,-62.18518546,16.73941406,151
Mauritius,mauritius,57.57120551,-20.27768704,152
Malawi,malawi,34.28935599,-13.21808088,153
Malaysia,malaysia,109.69762284,3.78986846,154
Namibia,namibia,17.20963567,-22.13032568,155
New Caledonia,new caledonia,165.68492374,-21.29991806,156
Niger,niger,9.38545882,17.41912493,157
Norfolk Island,norfolk island,167.94921678,-29.0514609,158
Nigeria,nigeria,8.08943895,9.59411452,159
Nicaragua,nicaragua,-85.0305297,12.84709429,160
Niue,niue,-169.86994682,-19.04945708,161
Netherlands,netherlands,5.28144793,52.1007899,162
Norway,norway,15.34834656,68.75015572,163
Nepal,nepal,83.9158264,28.24891365,164
Nauru,nauru,166.93256823,-0.51912639,165
New Zealand,new zealand,171.48492347,-41.81113557,166
Oman,oman,56.09166155,20.60515333,167
Pakistan,pakistan,69.33957937,29.9497515,168
Panama,panama,-80.11915156,8.51750797,169
Pitcairn Is.,pitcairn is.,-128.31704202,-24.36500535,170
Peru,peru,-74.38242685,-9.15280381,171
Philippines,philippines,122.88393253,11.77536778,172
Palau,palau,134.40807966,7.28742784,173
Papua New Guinea,papua new guinea,145.20744752,-6.46416646,174
Poland,poland,19.39012835,52.12759564,175
Puerto Rico,puerto rico,-66.47307604,18.22813055,176
Dem. Rep. Korea,dem. rep. korea,127.19247973,40.15350311,177
Portugal,portugal,-8.50104361,39.59550671,178
Paraguay,paraguay,-58.40013703,-23.22823913,179
Palestine,palestine,35.19628705,31.91613893,180
Fr. Polynesia,fr. polynesia,-144.90494387,-14.72227409,181
Qatar,qatar,51.18479632,25.30601188,182
Romania,romania,24.97293039,45.85243127,183
Russia,russia,96.68656112,61.98052209,184
Rwanda,rwanda,29.91988515,-1.99033832,185
W. Sahara,w. sahara,-12.21982755,24.22956739,186
Saudi Arabia,saudi arabia,44.53686271,24.12245841,187
Sudan,sudan,29.94046812,15.99035669,188
S. Sudan,s. sudan,30.24790002,7.30877945,189
Senegal,senegal,-14.4734924,14.36624173,190
Singapore,singapore,103.81725592,1.35876087,191
